id,age,sfr,metallicity
4,8.40013,7.102,1
18,7.00009,87.56,1
19,9.41005,2.828,2.5
26,9.65014,0.05214,1
30,10.01,0,0.2
37,9.8901,0,0.2
38,9.44008,12.01,2.5
42,8.95014,4.933,1
47,8.0001,26.19,1
55,9.30006,45.91,1
59,9.06006,52.59,2.5
62,9.11003,21.5,2.5
72,9.34017,3.763,1
73,7.15023,262.7,0.2
87,9.30006,34.1,2.5
110,7.05008,181.1,0.2
113,9.06006,4.711,1
120,9.05011,7.321,1
125,9.00011,14.24,1
130,9.21017,5.956,2.5
143,8.30005,9.099,0.2
146,9.06006,15.8,1
155,8.75008,4.516,1
172,9.28001,0.5715,1
185,8.20013,45.55,0.2
186,9.15998,2.931,1
200,9.92014,0,0.2
207,8.9001,0.006496,0.02
214,8.80014,27.46,1
220,8.80014,21.03,0.2
228,9.32006,6.92,1
233,7.00009,38.67,0.02
243,9.99011,0,0.2
270,8.80014,40.45,1
273,9.06006,0.812,0.2
278,7.00009,2430,0.2
279,8.75008,3.814,1
280,9.21017,5.078,1
283,9.15998,4.079,1
290,8.65013,10.44,1
304,9.23005,2.774,2.5
305,9.23005,17.54,1
310,8.30005,29.28,1
324,9.05011,9.811,1
335,8.95014,10.91,0.2
346,9.54008,0.9078,2.5
352,9.26019,0.3989,1
357,8.9001,4.832,1
377,9.48013,21.33,2.5
380,8.95014,4.186,1
383,9.57008,12.17,2.5
394,9.34017,1.077,0.2
399,8.80014,10.55,1
402,8.6001,8.888,0.2
403,8.45005,9.055,0.2
412,9.35017,8.346,1
415,8.9001,48.97,1
428,8.95014,12.1,1
429,7.00009,21.17,1
434,9.90322,2.39,2.5
445,9.11003,11.63,1
449,9.11003,3.662,1
453,9.11003,0.003587,0.2
457,9.30006,18.08,0.2
460,9.15998,8.699,0.2
493,9.06006,8.249,1
502,8.85008,15.37,0.2
504,9.41005,0.3103,0.2
509,8.95014,3.121,0.2
511,9.44008,0.6391,1
515,8.9001,10.1,0.2
518,9.23005,8.066,0.2
523,9.26019,0.1221,0.2
524,9.30006,170.6,0.2
532,9.57008,0.001626,2.5
533,9.06006,1.032,2.5
543,9.06006,24.3,1
552,9.30006,5.432,1
553,7.30004,202.4,0.2
555,9.20015,5.491,1
561,9.00011,42.46,1
567,8.25004,16.47,1
572,8.95014,6.435,1
578,9.06006,8.159,1
579,9.32006,11.74,1
582,8.75008,9.582,0.2
587,9.38015,0.02038,1
610,8.80014,11.19,1
611,8.20013,21.31,0.2
616,9.15998,1.105,1
619,8.50007,7.468,0.2
621,9.15998,3.388,2.5
631,9.54008,0.04461,0.2
654,9.15998,2.887,2.5
677,7.00009,200.7,0.2
679,9.23005,0.5259,1
680,9.32006,3.26,0.2
696,8.70012,14.75,1
703,9.00011,12,1
724,9.00011,8.595,0.02
725,9.30006,16.31,1
728,9.26019,0.26,0.2
741,9.51013,0.0011,0.2
750,8.85008,9.297,0.2
756,9.23005,3.758,1
757,8.95014,13.9,1
758,8.25004,29.23,0.2
765,9.51013,0.003288,1
770,9.21017,0.3887,0.2
775,9.21017,4.341,1
776,7.70011,37.74,0.2
794,9.5501,6.768,0.2
801,9.00011,7.206,1
803,8.95014,28.16,1
809,8.50007,6.348,0.2
817,9.48013,0.003196,1
821,7.00009,143.4,0.2
824,9.06006,78.67,2.5
828,9.00011,9.911,1
834,8.80014,5.066,1
836,8.80014,58.5,1
853,9.05011,8.39,1
854,9.30006,0.3091,0.2
