id,mag,mass,zbest,zspec,ra,dec
4,23.8672,9.21751,1.96,-99,150.056246,2.174318
18,24.4433,9.15385,5.068,-99,150.05792,2.175367
19,24.6391,9.52663,2.27,-99,150.077137,2.175643
26,21.2976,10.3595,0.817,-99,150.060572,2.175582
30,20.3658,9.92932,0.271,-99,150.069095,2.175357
37,19.3566,10.9698,0.58,-99,150.057551,2.174807
38,23.6155,10.5512,1.928,-99,150.065864,2.176105
42,22.7975,9.83851,0.92,-99,150.0846,2.17691
47,24.2783,9.45878,2.49,-99,150.088722,2.177284
55,24.3019,11.0009,2.94,-99,150.095209,2.177963
59,22.5801,10.9562,1.5,-99,150.097047,2.177995
62,22.0257,10.6647,1.06,-99,150.057134,2.1775
72,22.8524,10.3221,1.51,-99,150.061773,2.177926
73,23.174,9.536,2.135,-99,150.086418,2.177871
87,23.2897,10.7722,1.982,-99,150.104214,2.178908
110,23.7848,9.51181,2.259,-99,150.098962,2.179641
113,23.4858,9.87608,1.777,-99,150.085058,2.179505
120,23.5335,9.76061,2.022,-99,150.082537,2.178876
125,22.9906,9.75162,2.02,-99,150.102378,2.179501
130,22.1321,10.248,0.97,-99,150.06423,2.178647
143,24.1829,9.42611,2.666,-99,150.082506,2.18028
146,23.3427,10.3025,2.04,-99,150.072858,2.180247
155,24.7672,9.42364,2.549,-99,150.091231,2.180692
172,21.3637,10.7758,1.21,-99,150.060837,2.178915
185,23.1858,9.97234,1.936,-99,150.073002,2.181218
186,23.1697,10.1329,1.374,-99,150.070757,2.181473
200,18.8381,11.0116,0.509,-99,150.080993,2.17993
207,24.6494,7.9298,2.429,-99,150.130165,2.182044
214,23.3676,10.6824,1.868,-99,150.0932,2.181612
220,23.4176,9.94888,2.88,-99,150.074894,2.181635
228,23.0629,10.8803,2.414,-99,150.113864,2.181928
233,24.3375,8.99785,8.05,-99,150.131283,2.182484
243,18.4706,10.8514,0.336,-99,150.107788,2.180425
270,21.1568,10.4723,0.81,-99,150.082488,2.182182
273,22.9558,9.82788,1.35,-99,150.124497,2.182716
278,19.3181,10.3642,2.533,-99,150.115375,2.182682
279,24.1273,9.43216,2.195,-99,150.140492,2.183373
280,23.5503,10.4107,1.69,-99,150.077682,2.183213
283,22.1092,10.1825,0.96,-99,150.072359,2.183
290,22.8991,9.80028,1.586,-99,150.066868,2.183092
304,22.5911,10.2459,1.186,-99,150.141095,2.183479
305,22.2657,11.0284,1.77,-99,150.077046,2.182981
310,23.5709,9.71629,1.77,-99,150.102736,2.183777
324,23.385,9.83771,2.135,-99,150.130645,2.183889
335,22.933,10.6017,1.705,-99,150.08451,2.184325
346,24.5962,10.1826,1.74,-99,150.086052,2.184782
352,22.6599,10.4798,1.37,-99,150.105836,2.184445
357,24.4852,10.1747,2.62,-99,150.05957,2.184886
377,23.8742,10.8513,1.943,-99,150.145352,2.184907
